product_id,product_name,category,subcategory,cost_price
PROD0159,Chair,Home,Chair,26588
PROD0160,Headphones,Electronics,Headphones,27182
PROD0161,Mobile,Electronics,Mobile,34076
PROD0162,Lamp,Home,Lamp,41086
PROD0163,Novel,Books,Novel,13440
PROD0164,Table,Home,Table,18976
PROD0165,Dictionary,Books,Dictionary,8057
PROD0166,Mobile,Electronics,Mobile,46616
PROD0167,Jacket,Clothing,Jacket,36199
PROD0168,Headphones,Electronics,Headphones,6208
PROD0169,Shirt,Clothing,Shirt,30341
PROD0170,Mobile,Electronics,Mobile,32761
PROD0171,Sofa,Home,Sofa,27329
PROD0172,Dictionary,Books,Dictionary,16073
PROD0173,Biography,Books,Biography,25238
PROD0174,Jeans,Clothing,Jeans,4675
PROD0175,Lamp,Home,Lamp,22374
PROD0176,Chair,Home,Chair,18636
PROD0177,Lamp,Home,Lamp,9838
PROD0178,Dictionary,Books,Dictionary,22718
PROD0179,Lamp,Home,Lamp,29941
PROD0180,Table,Home,Table,45811
PROD0181,T-Shirt,Clothing,T-Shirt,15406
PROD0182,Novel,Books,Novel,20952
PROD0183,Dictionary,Books,Dictionary,25402
PROD0184,T-Shirt,Clothing,T-Shirt,2526
PROD0185,Jacket,Clothing,Jacket,6677
PROD0186,Novel,Books,Novel,34568
PROD0187,Novel,Books,Novel,47446
PROD0188,T-Shirt,Clothing,T-Shirt,43011
PROD0189,Shirt,Clothing,Shirt,30868
PROD0190,Sofa,Home,Sofa,40945
PROD0191,Novel,Books,Novel,21632
PROD0192,Comics,Books,Comics,41177
PROD0193,Novel,Books,Novel,40565
PROD0194,Mobile,Electronics,Mobile,41463
PROD0195,Table,Home,Table,49040
PROD0196,Headphones,Electronics,Headphones,6551
PROD0197,Headphones,Electronics,Headphones,11002
PROD0198,Chair,Home,Chair,3114
PROD0199,Chair,Home,Chair,19326
PROD0200,Sofa,Home,Sofa,28325
PROD0201,Jeans,Clothing,Jeans,34910
PROD0202,Biography,Books,Biography,11240
PROD0203,Shirt,Clothing,Shirt,40043
PROD0204,Biography,Books,Biography,32715
PROD0205,Jeans,Clothing,Jeans,30321
PROD0206,Lamp,Home,Lamp,16833
PROD0207,Headphones,Electronics,Headphones,18950
PROD0208,Shirt,Clothing,Shirt,29049
PROD0209,Sofa,Home,Sofa,41973
PROD0210,Comics,Books,Comics,30039
PROD0211,Table,Home,Table,25311
PROD0212,Novel,Books,Novel,15645
PROD0213,Comics,Books,Comics,37770
PROD0214,Sofa,Home,Sofa,1537
PROD0215,Comics,Books,Comics,630
PROD0216,Headphones,Electronics,Headphones,18856
PROD0217,Jacket,Clothing,Jacket,14452
PROD0218,Jacket,Clothing,Jacket,44517
PROD0219,Shirt,Clothing,Shirt,41221
PROD0220,Tablet,Electronics,Tablet,28989
PROD0221,Tablet,Electronics,Tablet,48095
PROD0222,Shirt,Clothing,Shirt,19440
PROD0223,Lamp,Home,Lamp,11610
PROD0224,Jeans,Clothing,Jeans,35450
PROD0225,Sofa,Home,Sofa,10883
PROD0226,Lamp,Home,Lamp,19442
PROD0227,Chair,Home,Chair,30792
PROD0228,Mobile,Electronics,Mobile,49524
PROD0229,T-Shirt,Clothing,T-Shirt,36624
PROD0230,Chair,Home,Chair,25958
PROD0231,Tablet,Electronics,Tablet,35264
PROD0232,Headphones,Electronics,Headphones,24255
PROD0233,Lamp,Home,Lamp,41947
PROD0234,Chair,Home,Chair,44326
PROD0235,T-Shirt,Clothing,T-Shirt,1740
PROD0236,Table,Home,Table,42544
PROD0237,Headphones,Electronics,Headphones,46045
PROD0238,Lamp,Home,Lamp,7746
PROD0239,Shirt,Clothing,Shirt,2538
PROD0240,Lamp,Home,Lamp,7710
PROD0241,Mobile,Electronics,Mobile,35328
PROD0242,T-Shirt,Clothing,T-Shirt,29829
PROD0243,Lamp,Home,Lamp,38591
PROD0244,T-Shirt,Clothing,T-Shirt,43020
PROD0245,Headphones,Electronics,Headphones,40447
PROD0246,Comics,Books,Comics,2244
PROD0247,Table,Home,Table,29157
PROD0248,Biography,Books,Biography,23868
PROD0249,Tablet,Electronics,Tablet,35782
PROD0250,Chair,Home,Chair,26192
PROD0251,Table,Home,Table,8105
PROD0252,Novel,Books,Novel,43535
PROD0253,Shirt,Clothing,Shirt,3414
PROD0254,Table,Home,Table,8352
PROD0255,Shirt,Clothing,Shirt,36420
PROD0256,Jeans,Clothing,Jeans,15369
PROD0257,Table,Home,Table,39158
PROD0258,Tablet,Electronics,Tablet,9582
PROD0259,Jacket,Clothing,Jacket,11535
PROD0260,Laptop,Electronics,Laptop,8737
PROD0261,Tablet,Electronics,Tablet,15693
PROD0262,Chair,Home,Chair,11519
PROD0263,Chair,Home,Chair,8407
PROD0264,Novel,Books,Novel,48967
PROD0265,Headphones,Electronics,Headphones,29478
PROD0266,Chair,Home,Chair,29722
PROD0267,Shirt,Clothing,Shirt,47760
PROD0268,Lamp,Home,Lamp,42261
PROD0269,Laptop,Electronics,Laptop,31490
PROD0270,Dictionary,Books,Dictionary,45064
PROD0271,Headphones,Electronics,Headphones,46787
PROD0272,Novel,Books,Novel,5394
PROD0273,Table,Home,Table,4404
PROD0274,Jacket,Clothing,Jacket,41015
PROD0275,Lamp,Home,Lamp,39250
PROD0276,Lamp,Home,Lamp,33231
PROD0277,Novel,Books,Novel,46091
PROD0278,Mobile,Electronics,Mobile,28285
PROD0279,Biography,Books,Biography,27219
PROD0280,Lamp,Home,Lamp,26231
PROD0281,Novel,Books,Novel,20583
PROD0282,Comics,Books,Comics,43688
PROD0283,Sofa,Home,Sofa,10103
PROD0284,Novel,Books,Novel,6078
PROD0285,Laptop,Electronics,Laptop,28403
PROD0286,Tablet,Electronics,Tablet,8627
PROD0287,Tablet,Electronics,Tablet,44009
PROD0288,Headphones,Electronics,Headphones,23273
PROD0289,Novel,Books,Novel,18950
PROD0290,Sofa,Home,Sofa,6889
PROD0291,Jeans,Clothing,Jeans,43139
PROD0292,Biography,Books,Biography,7192
PROD0293,Sofa,Home,Sofa,7629
PROD0294,Table,Home,Table,28222
PROD0295,Tablet,Electronics,Tablet,1997
PROD0296,Jacket,Clothing,Jacket,46152
PROD0297,Sofa,Home,Sofa,23104
PROD0298,Mobile,Electronics,Mobile,9488
PROD0299,Novel,Books,Novel,9397
PROD0300,Laptop,Electronics,Laptop,48997
PROD0301,T-Shirt,Clothing,T-Shirt,27614
PROD0302,Comics,Books,Comics,10415
PROD0303,Sofa,Home,Sofa,47390
PROD0304,Chair,Home,Chair,3547
PROD0305,Jeans,Clothing,Jeans,49542
PROD0306,Laptop,Electronics,Laptop,17932
PROD0307,Dictionary,Books,Dictionary,31928
PROD0308,Dictionary,Books,Dictionary,18002
PROD0309,Shirt,Clothing,Shirt,22721
PROD0310,Novel,Books,Novel,18662
PROD0311,Comics,Books,Comics,3076
PROD0312,T-Shirt,Clothing,T-Shirt,39377
PROD0313,Laptop,Electronics,Laptop,13497
PROD0314,Table,Home,Table,9093
PROD0315,Sofa,Home,Sofa,21603
PROD0316,Laptop,Electronics,Laptop,32696
PROD0317,Biography,Books,Biography,8566
PROD0318,Biography,Books,Biography,32885
PROD0319,Chair,Home,Chair,26122
PROD0320,Headphones,Electronics,Headphones,1328
PROD0321,Novel,Books,Novel,20616
PROD0322,Dictionary,Books,Dictionary,46597
PROD0323,Comics,Books,Comics,7648
PROD0324,Novel,Books,Novel,21384
PROD0325,T-Shirt,Clothing,T-Shirt,45294
PROD0326,Chair,Home,Chair,28720
PROD0327,Mobile,Electronics,Mobile,28652
PROD0328,Novel,Books,Novel,26036
PROD0329,Sofa,Home,Sofa,14620
PROD0330,Table,Home,Table,5105
PROD0331,Mobile,Electronics,Mobile,22996
PROD0332,Table,Home,Table,15584
PROD0333,Mobile,Electronics,Mobile,16875
PROD0334,Jeans,Clothing,Jeans,39578
PROD0335,Shirt,Clothing,Shirt,11709
PROD0336,Dictionary,Books,Dictionary,49543
PROD0337,Comics,Books,Comics,41205
PROD0338,Table,Home,Table,28920
PROD0339,Headphones,Electronics,Headphones,29080
PROD0340,Sofa,Home,Sofa,38859
PROD0341,Tablet,Electronics,Tablet,33348
PROD0342,Tablet,Electronics,Tablet,30360
PROD0343,Novel,Books,Novel,3828
PROD0344,Sofa,Home,Sofa,5128
PROD0345,Headphones,Electronics,Headphones,30424
PROD0346,Headphones,Electronics,Headphones,37564
PROD0347,Jacket,Clothing,Jacket,39749
PROD0348,Biography,Books,Biography,4154
PROD0349,Novel,Books,Novel,22607
PROD0350,Mobile,Electronics,Mobile,2665
PROD0351,T-Shirt,Clothing,T-Shirt,28897
PROD0352,Jacket,Clothing,Jacket,24535
PROD0353,Lamp,Home,Lamp,26889
PROD0354,Chair,Home,Chair,41445
PROD0355,Chair,Home,Chair,21706
PROD0356,Headphones,Electronics,Headphones,18721
PROD0357,Table,Home,Table,21947
PROD0358,Mobile,Electronics,Mobile,23025
PROD0359,Lamp,Home,Lamp,8550
PROD0360,Tablet,Electronics,Tablet,36729
PROD0361,Comics,Books,Comics,8475
PROD0362,Headphones,Electronics,Headphones,33424
PROD0363,Chair,Home,Chair,23863
PROD0364,Table,Home,Table,14137
PROD0365,Lamp,Home,Lamp,12683
PROD0366,Jeans,Clothing,Jeans,10254
PROD0367,Tablet,Electronics,Tablet,6728
PROD0368,Tablet,Electronics,Tablet,40603
PROD0369,T-Shirt,Clothing,T-Shirt,10209
PROD0370,Jeans,Clothing,Jeans,45506
PROD0371,T-Shirt,Clothing,T-Shirt,2963
PROD0372,Comics,Books,Comics,44426
PROD0373,T-Shirt,Clothing,T-Shirt,40115
PROD0374,Lamp,Home,Lamp,15435
PROD0375,Jacket,Clothing,Jacket,30837
PROD0376,Jacket,Clothing,Jacket,44553
PROD0377,Dictionary,Books,Dictionary,18566
PROD0378,Dictionary,Books,Dictionary,10720
PROD0379,Jeans,Clothing,Jeans,16484
PROD0380,Headphones,Electronics,Headphones,24427
PROD0381,Laptop,Electronics,Laptop,18781
PROD0382,Mobile,Electronics,Mobile,17977
PROD0383,Biography,Books,Biography,28770
PROD0384,Mobile,Electronics,Mobile,29665
PROD0385,Chair,Home,Chair,27290
PROD0386,Headphones,Electronics,Headphones,32999
PROD0387,Table,Home,Table,25407
PROD0388,Tablet,Electronics,Tablet,14815
PROD0389,Tablet,Electronics,Tablet,6593
PROD0390,Table,Home,Table,9117
PROD0391,Tablet,Electronics,Tablet,31062
PROD0392,T-Shirt,Clothing,T-Shirt,29499
PROD0393,Laptop,Electronics,Laptop,1345
PROD0394,Table,Home,Table,9898
PROD0395,Novel,Books,Novel,18981
PROD0396,Jacket,Clothing,Jacket,8085
PROD0397,Mobile,Electronics,Mobile,27613
PROD0398,Novel,Books,Novel,7365
PROD0399,Novel,Books,Novel,41515
PROD0400,Jeans,Clothing,Jeans,19188
PROD0401,Novel,Books,Novel,40392
PROD0402,Table,Home,Table,37499
PROD0403,Biography,Books,Biography,43640
PROD0404,Tablet,Electronics,Tablet,4535
PROD0405,Headphones,Electronics,Headphones,30910
PROD0406,Headphones,Electronics,Headphones,24564
PROD0407,Chair,Home,Chair,23502
PROD0408,Tablet,Electronics,Tablet,15902
PROD0409,Tablet,Electronics,Tablet,8843
PROD0410,Tablet,Electronics,Tablet,35883
PROD0411,Table,Home,Table,44971
PROD0412,Dictionary,Books,Dictionary,41501
PROD0413,Jeans,Clothing,Jeans,4235
PROD0414,Novel,Books,Novel,19331
PROD0415,Shirt,Clothing,Shirt,13172
PROD0416,Tablet,Electronics,Tablet,20421
PROD0417,Dictionary,Books,Dictionary,16701
PROD0418,Mobile,Electronics,Mobile,18850
PROD0419,Chair,Home,Chair,43074
PROD0420,Sofa,Home,Sofa,8257
PROD0421,Lamp,Home,Lamp,26315
PROD0422,Dictionary,Books,Dictionary,22319
PROD0423,T-Shirt,Clothing,T-Shirt,45455
PROD0424,Comics,Books,Comics,34131
PROD0425,Chair,Home,Chair,47750
PROD0426,Novel,Books,Novel,28320
PROD0427,Jacket,Clothing,Jacket,21150
PROD0428,Laptop,Electronics,Laptop,21590
PROD0429,Sofa,Home,Sofa,29323
PROD0430,Biography,Books,Biography,45304
PROD0431,Comics,Books,Comics,29403
PROD0432,Tablet,Electronics,Tablet,40394
PROD0433,Comics,Books,Comics,42008
PROD0434,Laptop,Electronics,Laptop,44086
PROD0435,Comics,Books,Comics,33725
PROD0436,Shirt,Clothing,Shirt,9457
PROD0437,Novel,Books,Novel,8372
PROD0438,Mobile,Electronics,Mobile,42381
PROD0439,Sofa,Home,Sofa,25190
PROD0440,Mobile,Electronics,Mobile,44603
PROD0441,Comics,Books,Comics,24480
PROD0442,Novel,Books,Novel,37712
PROD0443,Jacket,Clothing,Jacket,26185
PROD0444,Sofa,Home,Sofa,16458
PROD0445,Laptop,Electronics,Laptop,48313
PROD0446,T-Shirt,Clothing,T-Shirt,34030
PROD0447,Novel,Books,Novel,17255
PROD0448,Lamp,Home,Lamp,14162
PROD0449,Lamp,Home,Lamp,13218
PROD0450,Mobile,Electronics,Mobile,4953
PROD0451,Biography,Books,Biography,46851
PROD0452,Novel,Books,Novel,44790
PROD0453,Sofa,Home,Sofa,46600
PROD0454,Tablet,Electronics,Tablet,19757
PROD0455,Jeans,Clothing,Jeans,23790
PROD0456,Shirt,Clothing,Shirt,13271
PROD0457,Jeans,Clothing,Jeans,32476
PROD0458,Tablet,Electronics,Tablet,36408
PROD0459,Lamp,Home,Lamp,36252
PROD0460,Shirt,Clothing,Shirt,4408
PROD0461,Lamp,Home,Lamp,47084
PROD0462,Dictionary,Books,Dictionary,26932
PROD0463,Mobile,Electronics,Mobile,20876
PROD0464,Headphones,Electronics,Headphones,30628
PROD0465,Table,Home,Table,36230
PROD0466,Jeans,Clothing,Jeans,28452
PROD0467,Laptop,Electronics,Laptop,34054
PROD0468,Jacket,Clothing,Jacket,10890
PROD0469,Jacket,Clothing,Jacket,46586
PROD0470,Jacket,Clothing,Jacket,34106
PROD0471,Chair,Home,Chair,16523
PROD0472,Jacket,Clothing,Jacket,8303
PROD0473,Chair,Home,Chair,33036
PROD0474,Jeans,Clothing,Jeans,11319
PROD0475,Chair,Home,Chair,1959
PROD0476,Laptop,Electronics,Laptop,42138
PROD0477,Table,Home,Table,37595
PROD0478,Novel,Books,Novel,32739
PROD0479,Sofa,Home,Sofa,31750
PROD0480,T-Shirt,Clothing,T-Shirt,19592
PROD0481,Novel,Books,Novel,45228
PROD0482,Mobile,Electronics,Mobile,28909
PROD0483,Dictionary,Books,Dictionary,30537
PROD0484,Jacket,Clothing,Jacket,39858
PROD0485,Jacket,Clothing,Jacket,47178
PROD0486,Sofa,Home,Sofa,26230
PROD0487,Jacket,Clothing,Jacket,33849
PROD0488,Tablet,Electronics,Tablet,15942
PROD0489,Novel,Books,Novel,17629
PROD0490,Biography,Books,Biography,9332
PROD0491,Laptop,Electronics,Laptop,19119
PROD0492,Dictionary,Books,Dictionary,16370
PROD0493,Jacket,Clothing,Jacket,37959
PROD0494,Table,Home,Table,10542
PROD0495,Dictionary,Books,Dictionary,32786
PROD0496,Lamp,Home,Lamp,1618
PROD0497,Headphones,Electronics,Headphones,33224
PROD0498,Biography,Books,Biography,14199
PROD0499,Chair,Home,Chair,3412
PROD0500,Lamp,Home,Lamp,39258
